tag	mode	split	fitness	hit_rate	mrr_partial	p95_ms	regressions	status
baseline-fts	fts	all	0.3228	0.3922	0.1611	86.5	0	ok
baseline-hybrid	hybrid	all	0.3924	0.4706	0.2098	108.5	0	ok
baseline-hybrid-dev	hybrid	dev	0.4112	0.4889	0.2299	103.7	0	ok
baseline-fts-dev	fts	dev	0.3464	0.4	0.2212	57.6	0	ok
rrf30-keep	hybrid	dev	0.4349	0.5333	0.2208	108.5	0	ok
cb1.0	hybrid	dev	0.4672	0.5333	-	112.0	2	discard
cb1.3	hybrid	dev	0.4318	0.5333	-	117.7	1	discard
cb2.0	hybrid	dev	0.3422	0.4	-	105.3	7	discard
pk100	hybrid	dev	0.4351	0.5333	-	114.4	1	discard
pk120	hybrid	dev	0.4352	0.5333	-	114.3	1	discard
pk80-keep	hybrid	dev	0.4379	0.5333	0.2208	110.4	0	ok
fts-prefix	hybrid	dev	0.4393	0.5556	0.3318	164.6	1	discard
prefix5-keep	hybrid	dev	0.459	0.5778	0.3229	157.1	0	ok
bm25w-s2-keep	hybrid	dev	0.504	0.5778	0.3375	159.7	0	ok
bm25w-s3	hybrid	dev	0.4777	0.5556	0.3063	161.9	1	discard
bm25w-s2.5	hybrid	dev	0.5046	0.5778	0.3375	157.3	0	discard
bm25w-p2	hybrid	dev	0.5023	0.5778	0.3375	165.1	0	discard
subjtok-1.1	hybrid	dev	0.5026	0.5556	0.3792	157.8	2	discard
subjtok-1.05	hybrid	dev	0.5035	0.5778	0.3375	163.2	0	discard
subjtok-1.08	hybrid	dev	0.4722	0.5333	0.3479	168.5	2	discard
subjtok-all-1.1	hybrid	dev	0.5148	0.5778	0.3792	165.1	1	discard
subjtok-all-1.07	hybrid	dev	0.4867	0.5556	0.3479	170.1	1	discard
subjtok-cons-1.1	hybrid	dev	0.5051	0.5778	0.3375	160.6	0	discard
recency-f0.9	hybrid	dev	0.4314	0.4889	0.3115	166.5	4	discard
veck-1.5	hybrid	dev	0.5024	0.5778	0.3375	165.0	1	discard
veck-1.25	hybrid	dev	0.5032	0.5778	0.3375	163.7	1	discard
veck-0.75	hybrid	dev	0.5016	0.5778	0.3375	166.3	0	discard
bm25w-s2-test	hybrid	test	0.185	0.25	0.0333	217.4	0	ok
baseline-jun19	hybrid	dev	0.5121	0.587	0.3375	159.1	0	ok
boost3.0-keep	hybrid	dev	0.5109	0.587	0.3531	168.5	0	ok
baseline-denser-jun19	hybrid	dev	0.4878	0.569	0.2985	143.7	0	ok
temporal-deboost-keep	hybrid	dev	0.5243	0.6034	0.3629	153.6	0	ok
anchor-reset-jun19	hybrid	dev	0.5276	0.6034	0.3629	152.9	1	fail:regression
consolidation_boost_resweep-keep	hybrid	dev	0.5406	0.6034	0.3939	150.2	0	ok
per_index_k_resweep-keep	hybrid	dev	0.5463	0.6034	0.4129	138.8	0	ok
k80-cons105-anchor	hybrid	dev	0.529	0.6034	0.3939	154.8	0	ok
baseline-reseed-jun19	hybrid	dev	0.5423	0.6034	0.4129	161.0	0	ok
true-baseline	hybrid	dev	0.5313	0.6034	0.3629	142.9	0	fail:recall
recall-floor-baseline	hybrid	dev	0.5294	0.6034	0.3629	145.6	0	ok
main-anchor-jun19	hybrid	dev	0.5463	0.6034	0.4129	142.6	0	ok
campaign2-anchor	hybrid	dev	0.518	0.6034	0.4129	183.0	0	ok
campaign-jun20-anchor	hybrid	dev	0.5463	0.6034	0.4129	147.4	0	ok
baseline-anchor	hybrid	dev	0.5438	0.6034	0.4129	151.1	0	ok
bm25_magnitude_blend-keep	hybrid	dev	0.4461	0.4828	0.3606	140.9	11	fail:regression
bm25_magnitude_blend-keep	hybrid	dev	0.5427	0.6034	0.4311	153.6	4	fail:regression
bm25_magnitude_fts_blend-keep	hybrid	dev	0.5469	0.6034	0.4167	154.4	0	fail:recall
campaign-jun20b-anchor	hybrid	dev	0.5437	0.6034	0.4129	158.3	0	ok
pre-blend-anchor	hybrid	dev	0.5463	0.6034	0.4129	151.7	0	ok
recover-magnitude-anchor	hybrid	dev	0.5474	0.6034	0.4167	150.0	0	ok
campaign2-anchor	hybrid	dev	0.5463	0.6034	0.4129	148.1	0	ok
baseline-anchor	hybrid	dev	0.5445	0.6034	0.4129	150.9	0	ok
verify-final	hybrid	dev	0.5463	0.6034	0.4129	148.6	0	ok
rank_agreement_multiplier-keep	hybrid	dev	0.5508	0.6034	0.428	146.4	0	ok
main-merged	hybrid	dev	0.5373	0.6034	0.428	166.2	0	ok
baseline-anchor	hybrid	dev	0.5508	0.6034	0.428	164.5	0	ok
reanchor-jun20	hybrid	dev	0.5539	0.6034	0.4383	160.8	0	ok
anchor-jun21-densified	hybrid	dev	0.5213	0.5909	0.3975	179.4	0	ok
baseline-anchor	hybrid	dev	0.5329	0.5909	0.3975	171.2	0	ok
tier2_factual_coverage_recovery-keep	hybrid	dev	0.5816	0.6364	0.4539	167.7	0	ok
